Word,Length,Freq_HAL,Log_Freq_HAL,I_Mean_RT,I_Zscore,I_SD,Obs,I_Mean_Accuracy
pastry,6,659,6.49,683.07,-0.27,191.84,30,0.91
pasture,7,1179,7.07,741.52,-0.21,263.13,31,0.89
pastures,8,534,6.28,722.91,-0.13,215.99,33,0.97
pasty,5,202,5.31,674.87,-0.32,239.38,30,0.91
pat,3,17025,9.74,634.78,-0.45,175.77,32,0.97
Patagonians,11,5,1.61,985.58,0.88,299.27,19,0.7
patch,5,25238,10.14,534.38,-0.77,117.43,34,1
patched,7,1829,7.51,672.48,-0.4,286.35,33,0.97
patches,7,13190,9.49,683.22,-0.37,161.06,32,0.97
patchwork,9,298,5.7,666.7,-0.41,182.03,33,0.94
patchy,6,127,4.84,785,-0.07,245.83,29,0.91
pate,4,472,6.16,838.78,0.24,368.36,9,0.26
patella,7,71,4.26,945.09,0.4,352.29,23,0.7
patent,6,8958,9.1,749.15,-0.21,275.58,33,1
patented,8,1851,7.52,712.07,-0.08,234.16,30,0.88
patentees,9,25,3.22,1087.64,1.28,505.79,11,0.35
patenting,9,197,5.28,786.56,0.15,263.91,25,0.86
patents,7,4247,8.35,760.18,-0.17,292.51,28,0.93
paternal,8,459,6.13,878.59,0.1,418.75,29,0.88
paternalism,11,56,4.03,882.46,0.55,239.13,26,0.84
paternalistic,13,173,5.15,1033.81,0.96,459.09,27,0.87
paternally,10,8,2.08,803.07,0.15,296.1,27,0.82
paternity,9,653,6.48,765.6,-0.09,329.85,30,0.88
path,4,43722,10.69,599.84,-0.73,231.03,32,0.97
pathetic,8,8150,9.01,678.13,-0.3,227.11,32,0.94
pathfinder,10,657,6.49,743.06,-0.14,245.1,33,0.94
pathless,8,8,2.08,738.75,-0.18,302.83,32,1
pathogenesis,12,204,5.32,1340.73,1.47,639.63,22,0.73
pathogenic,10,121,4.8,921.03,0.54,294.5,29,0.91
pathologic,10,58,4.06,869.03,0.43,338.25,31,0.94
pathological,12,941,6.85,851.72,0.25,294.68,32,0.91
pathologist,11,373,5.92,830.85,0.07,263.08,33,1
pathology,9,1279,7.15,713.29,-0.09,244.01,34,1
pathos,6,158,5.06,852.17,0.33,308.47,23,0.68
paths,5,5859,8.68,646.87,-0.65,275.38,30,0.97
pathway,7,968,6.88,704.5,-0.43,270.58,32,1
pathways,8,1005,6.91,662.47,-0.37,214.3,32,0.97
patience,8,5636,8.64,673.15,-0.4,305.01,34,1
patient,7,14671,9.59,577.85,-0.71,152.05,33,1
patiently,9,1120,7.02,749.03,-0.33,300.26,34,1
patients,8,14318,9.57,656.65,-0.5,217.81,34,1
patient's,9,852,6.75,644.76,-0.51,168.36,34,1
patina,6,134,4.9,810.63,0.19,164.54,8,0.25
patio,5,698,6.55,661.19,-0.42,272.98,32,0.97
patriarch,9,461,6.13,903.87,0.46,462.38,30,0.88
patriarchal,11,585,6.37,930.48,0.51,372.38,27,0.87
patriarchy,10,561,6.33,929.5,0.38,482.75,24,0.83
Patricia,8,3969,8.29,743.53,-0.11,277.42,34,1
patrician,9,78,4.36,812.32,0.19,263.66,25,0.76
patricide,9,5,1.61,853.15,0.43,332.49,13,0.45
Patrick,7,21152,9.96,691.31,-0.47,276,32,0.97
Patrick's,9,698,6.55,688.88,-0.31,227.99,33,0.97
patrimony,9,30,3.4,807.05,0.3,173.01,20,0.61
patriot,7,1775,7.48,652.55,-0.55,230.09,33,1
patriotic,9,1314,7.18,773.16,-0.1,314.17,31,0.94
patriotism,10,701,6.55,814.2,-0.06,382.65,30,0.97
patriots,8,1214,7.1,672.73,-0.44,197.8,33,0.94
patrol,6,5794,8.66,675.58,-0.37,245.73,33,0.94
patrolled,9,187,5.23,728.61,-0.06,240.15,33,1
patrolling,10,302,5.71,870.94,0.14,486.58,31,0.91
patrolman,9,123,4.81,848.59,0.16,320.3,27,0.79
patrolman's,11,5,1.61,865.24,0.34,284.71,25,0.81
patrolmen,9,39,3.66,826.36,0.28,313.61,25,0.78
patrols,7,703,6.56,699.27,-0.26,211.09,30,0.94
patron,6,1673,7.42,691.79,-0.33,225.06,34,1
patronage,9,385,5.95,797.11,0.18,250.62,27,0.79
patroness,9,21,3.04,901.53,0.81,313.67,19,0.58
patronize,9,344,5.84,830.25,-0.08,439.75,32,0.97
patronized,10,79,4.37,856.35,0.02,339.87,31,1
patronizing,11,535,6.28,809.87,0.09,304.63,30,0.97
patrons,7,1693,7.43,732.16,-0.12,333.38,31,0.91
Pat's,5,352,5.86,658.44,-0.47,221.5,34,1
Patsy,5,787,6.67,814.11,0,274.89,28,0.85
patted,6,413,6.02,645.16,-0.41,167.42,31,0.91
patter,6,255,5.54,803.23,0.17,248.7,26,0.76
pattered,8,4,1.39,683.72,-0.21,235.71,18,0.56
pattern,7,19583,9.88,586.03,-0.58,167.22,34,1
patterned,9,540,6.29,788.25,-0.05,389.23,32,0.97
patterns,8,12698,9.45,675.88,-0.49,186.06,33,1
patties,7,260,5.56,726.74,-0.26,260.14,31,0.89
patting,7,324,5.78,740.9,-0.22,271.24,31,0.91
patty,5,1978,7.59,662.39,-0.43,217.73,28,0.85
paucity,7,119,4.78,825.5,0.44,280.5,6,0.18
Paul,4,89377,11.4,633.94,-0.67,332.64,35,1
Paula,5,3885,8.26,643.52,-0.57,214.79,33,0.97
Paula's,7,113,4.73,632.91,-0.47,137.51,34,0.97
Paul's,6,2670,7.89,633.64,-0.54,231.2,33,1
paunch,6,45,3.81,639.71,-0.17,172.92,7,0.22
paunchy,7,36,3.58,726.93,0.18,195.82,15,0.43
pauper,6,131,4.88,829.96,0.14,277.16,24,0.73
pauperize,9,3,1.1,1068.08,1.04,482.13,13,0.41
pauper's,8,10,2.3,893.79,0.19,235.86,24,0.75
pause,5,4817,8.48,581.53,-0.69,187.83,32,0.97
paused,6,1805,7.5,567.59,-0.67,137.23,32,0.97
pauses,6,1026,6.93,664.45,-0.41,228.47,33,1
pausing,7,592,6.38,647.33,-0.42,136.62,33,0.97
pave,4,749,6.62,767,0.02,255.23,27,0.79
paved,5,1292,7.16,703,-0.35,216.82,30,0.94
pavement,8,1958,7.58,692.65,-0.33,247.83,34,1
pavements,9,51,3.93,720.71,-0.31,325.56,34,1
pavilion,8,672,6.51,775.59,0.21,149.41,29,0.85
pavilions,9,36,3.58,881.81,0.28,307.96,26,0.76
paving,6,513,6.24,731.32,-0.22,286.09,31,0.91
Pavlov,6,424,6.05,831.62,-0.05,352.46,26,0.76
paw,3,1963,7.58,669.48,-0.4,148.35,31,0.91
pawing,6,157,5.06,759.77,-0.09,173.55,22,0.67
pawn,4,1542,7.34,657.21,-0.43,191.87,33,0.97
pawnbroker,10,17,2.83,833.3,0.45,278.97,23,0.7
pawnshop,8,70,4.25,785.09,-0.07,247.48,32,0.97
paws,4,1401,7.24,678.07,-0.42,237.15,30,0.91
pay,3,133802,11.8,579.58,-0.73,156.36,33,1
payable,7,4454,8.4,667.55,-0.37,215.32,31,0.91
paycheck,8,1190,7.08,694.32,-0.29,234.82,34,1
payday,6,170,5.14,576.03,-0.65,97.04,33,0.94
paying,6,26011,10.17,667.88,-0.35,186.09,33,1
payload,7,1258,7.14,722.21,-0.15,257.1,33,0.94
paymaster,9,34,3.53,863.18,0.19,318.6,28,0.85
payment,7,30487,10.33,644.24,-0.5,292.77,34,1
payments,8,8078,9,656.12,-0.49,214.07,33,1
payoff,6,912,6.82,738.14,-0.37,329.14,35,1
payroll,7,3274,8.09,624.71,-0.52,166.34,34,1
pays,4,13224,9.49,612.45,-0.57,269.19,33,0.97
pea,3,943,6.85,575.19,-0.7,142.17,31,0.94
peace,5,40408,10.61,661.76,-0.59,436.58,33,1
peaceable,9,113,4.73,930.13,0.21,458.7,30,0.91
peaceful,8,5918,8.69,684.29,-0.47,285.29,31,1
peacefully,10,1580,7.37,620.59,-0.4,135.27,34,1
peacemaker,10,216,5.38,713.85,-0.24,277.29,34,1
peacemaking,11,91,4.51,738.1,-0.02,219.6,31,0.97
peacetime,9,293,5.68,786.67,-0.09,427.84,33,0.97
peach,5,1812,7.5,555.5,-0.75,108.26,34,1
peaches,7,713,6.57,620.65,-0.53,213.85,34,1
peacock,7,969,6.88,686,-0.42,233.14,34,0.97
peacocks,8,121,4.8,695.84,-0.25,151.63,32,1
peafowl,7,15,2.71,812.75,0.37,192.08,8,0.24
peahen,6,8,2.08,NULL,NULL,NULL,NULL,0
peak,4,8419,9.04,594.83,-0.67,149.16,35,1
peaked,6,649,6.48,694.45,-0.3,341.63,31,0.97
peaks,5,2550,7.84,594.32,-0.55,124.26,31,0.97
peaky,5,45,3.81,746.21,-0.19,328.3,24,0.71
peal,4,204,5.32,697.85,-0.19,195.91,26,0.74
peals,5,49,3.89,735.52,-0.28,266.05,27,0.82
peanut,6,2138,7.67,763.72,-0.13,329.94,32,0.97
peanuts,7,1474,7.3,551.85,-0.7,79.74,34,1
pear,4,971,6.88,657.23,-0.43,279.08,31,0.89
pearl,5,10738,9.28,706.03,-0.43,272.83,33,1
pearls,6,961,6.87,594.86,-0.61,145.8,35,1
pearly,6,317,5.76,758.64,-0.1,386.86,25,0.74
pears,5,307,5.73,663.55,-0.33,215.95,29,0.88
peas,4,1457,7.28,618,-0.54,165.97,32,0.94
peasant,7,1330,7.19,708.73,-0.42,233.35,33,0.97
peasanthood,11,0,0,1099.22,0.99,372.17,23,0.72
peasantry,9,183,5.21,870.52,0.18,364.53,29,0.97
peasants,8,1684,7.43,735,-0.18,258.17,31,0.94
peashooter,10,4,1.39,1030,0.82,388.88,17,0.53
peat,4,650,6.48,911.31,0.52,445.63,16,0.48
pebble,6,604,6.4,735.81,-0.18,226.21,31,0.94
pebbles,7,662,6.5,722.94,-0.29,286.27,34,1
pebbly,6,18,2.89,1147.07,0.8,601.53,15,0.45
pecan,5,179,5.19,665.31,-0.27,179.34,32,0.94
pecans,6,120,4.79,749.31,-0.12,197.49,32,0.94
peck,4,1067,6.97,612.06,-0.64,156.38,33,0.94
pecked,6,67,4.2,755.75,-0.25,313.23,32,0.94
peckish,7,21,3.04,839.1,0.25,354.21,20,0.59
pecks,5,65,4.17,718.52,-0.24,327.7,31,0.97
pecs,4,354,5.87,886.79,0.39,319.88,19,0.59
pectin,6,124,4.82,1078.78,0.9,361.13,9,0.27
pectoral,8,75,4.32,787.42,0.09,221.98,31,0.94
pectoralis,10,19,2.94,1014.37,0.95,291.64,19,0.61
pectorals,9,63,4.14,852.67,0.03,431.08,24,0.77
peculiar,8,2956,7.99,747.14,-0.1,291.62,29,0.91
peculiarities,13,299,5.7,996.06,0.76,328.36,31,0.94
peculiarity,11,147,4.99,949.34,0.32,417.12,29,0.91
peculiarly,10,176,5.17,835.61,0.15,364.54,28,0.93
pedagogic,9,27,3.3,857.5,0.7,219.85,12,0.39
pedagogical,11,278,5.63,1115.56,1.07,560.55,9,0.29
pedagogue,9,16,2.77,900.92,0.61,293.01,12,0.38
pedagogy,8,286,5.66,1029.33,0.62,283.23,9,0.27
pedal,5,3243,8.08,619,-0.51,180.93,32,0.97
pedals,6,2237,7.71,687.03,-0.43,228.52,31,0.94
pedantic,8,910,6.81,825.67,0.32,333.11,12,0.38
peddle,6,392,5.97,742.22,-0.17,235.41,27,0.82
peddled,7,109,4.69,733.61,0.02,331.48,31,0.91
peddler,7,101,4.62,675.72,-0.31,169.21,32,1
peddlers,8,127,4.84,767.59,-0.04,248.7,29,0.94
pedestal,8,626,6.44,808.77,0.14,413.3,31,0.97
pedestrian,10,764,6.64,737.78,-0.22,305.68,32,0.97
pedestrians,11,583,6.37,766.76,0.07,293.76,34,1
pedicure,8,33,3.5,782.12,0,388.54,34,1
pedigree,8,858,6.75,742.59,-0.21,284.58,34,1
pedigreed,9,58,4.06,900.29,0.63,240.93,24,0.71
pediment,8,9,2.2,798.96,0.3,200.43,24,0.73
Pedro,5,3460,8.15,774.9,0,222.33,31,0.94
pee,3,3159,8.06,700.16,-0.26,256.09,32,0.94
peed,4,411,6.02,739.87,-0.06,243.88,15,0.45
peek,4,1954,7.58,588.5,-0.52,199,30,0.94
peekaboo,8,64,4.16,789.62,-0.13,387.83,29,0.85
peeked,6,347,5.85,666.94,-0.25,209.2,33,0.97
peeking,7,417,6.03,638.97,-0.51,206.3,33,0.97
peel,4,2813,7.94,626.27,-0.44,193.76,33,1
peeled,6,1151,7.05,695.2,-0.2,186.92,30,0.91
peeler,6,127,4.84,773.54,-0.06,178.52,28,0.88
peeling,7,560,6.33,678.71,-0.33,294.13,31,0.91
peels,5,311,5.74,700.06,-0.27,238.45,33,0.94
peep,4,622,6.43,626.06,-0.54,224.49,32,0.94
peeper,6,34,3.53,686.54,-0.26,152.8,26,0.76
peephole,8,112,4.72,826.47,0.03,307.58,30,0.86
peeping,7,207,5.33,752.16,-0.14,211.94,31,0.94
peer,4,4088,8.32,638.44,-0.57,324.34,32,0.94
peered,6,472,6.16,823.11,-0.08,345.36,28,0.82
peering,7,474,6.16,756,-0.27,292.78,32,0.97
peerless,8,165,5.11,745.9,-0.25,282.23,29,0.91
peers,5,2695,7.9,670.78,-0.44,220.94,32,0.94
peeve,5,847,6.74,829.4,0.3,343.59,20,0.59
peevish,7,54,3.99,692.18,-0.12,139.35,11,0.34
peg,3,1350,7.21,610.4,-0.41,197.04,30,0.91
pegboard,8,34,3.53,785.48,0.07,164.59,23,0.68
pegboards,9,6,1.79,883.2,0.41,271.23,25,0.74
pegged,6,416,6.03,701.75,-0.25,235.14,28,0.85
pegging,7,51,3.93,745.83,0.06,231,24,0.73
pegs,4,577,6.36,709.61,-0.29,357.47,33,0.97
pejorative,10,292,5.68,786.08,0.64,250.1,13,0.38
Peking,6,447,6.1,908.64,0.32,435.95,28,0.85
pelican,7,1136,7.04,728.97,-0.15,225.38,31,0.91
pellet,6,544,6.3,699.55,-0.16,274.61,22,0.67
pellets,7,1129,7.03,741.79,-0.05,306.18,28,0.82
pelt,4,387,5.96,735.77,-0.19,329.64,22,0.67
pelting,7,57,4.04,880.15,0.38,382.32,20,0.61
pelts,5,105,4.65,799.91,0.01,330.59,23,0.7
pelvic,6,541,6.29,760.18,-0.17,272.7,33,1
pelvis,6,1039,6.95,712.31,-0.25,222.66,32,0.97
pen,3,7902,8.97,610.88,-0.71,228.35,34,1
penal,5,1244,7.13,752.44,0.09,151.89,25,0.83
penalization,12,3,1.1,924.62,0.44,278.24,29,0.94
penalize,8,421,6.04,761.24,-0.04,279.47,33,0.94
penalized,9,791,6.67,786.76,-0.08,342.97,34,1
penalties,9,3584,8.18,764.24,-0.1,233.4,33,1
penalty,7,9391,9.15,657.18,-0.48,244.05,34,1
penance,7,344,5.84,700.85,-0.24,198.61,20,0.61
pence,5,472,6.16,727.61,-0.06,316.2,23,0.7
penchant,8,583,6.37,711.39,-0.05,140.92,18,0.55
pencil,6,3021,8.01,639.5,-0.6,348.01,32,0.97
penciled,8,114,4.74,926.54,0.41,365.39,28,0.88
pencils,7,741,6.61,614.7,-0.64,256.42,33,0.97
pendant,7,536,6.28,760.06,0.01,258.5,32,0.97
pendent,7,46,3.83,753.67,-0.09,205.78,27,0.84
pending,7,6663,8.8,674.5,-0.28,234.1,30,0.91
pendulous,9,89,4.49,901.25,0.39,399.46,20,0.63
pendulum,8,685,6.53,767.29,-0.09,183.4,28,0.82
penetrable,10,11,2.4,766,0.03,219.28,23,0.72
penetrate,9,1864,7.53,794.12,-0.1,401.89,34,1
penetrated,10,835,6.73,734.15,-0.1,210.63,34,1
penetrating,11,967,6.87,842.76,0.19,254.25,29,1
penetration,11,2314,7.75,832.03,0.09,341.3,32,0.97
penguin,7,2222,7.71,717.79,-0.3,273.26,33,0.97
penicillin,10,349,5.86,798.71,0.09,231.4,31,0.89
peninsula,9,3232,8.08,789.45,-0.12,288.18,31,0.94
peninsular,10,62,4.13,856.26,0.52,285.56,23,0.7
penis,5,11136,9.32,653.3,-0.55,265.7,33,0.97
penitence,9,27,3.3,970,0.48,484.86,21,0.64
penitent,8,78,4.36,935.38,0.61,415.3,21,0.66
penitentiary,12,169,5.13,1091.2,0.99,431.11,25,0.83
penknife,8,21,3.04,912.44,0.53,384.98,16,0.52
penmanship,10,37,3.61,1001.45,0.69,389.99,22,0.76
pennant,7,287,5.66,752.63,-0.06,176.13,30,0.88
pennants,8,107,4.67,815.27,0.17,287.13,26,0.84
penned,6,465,6.14,730.75,-0.13,313.95,24,0.73
pennies,7,1362,7.22,653.48,-0.5,258.13,31,0.94
penniless,9,180,5.19,734.43,-0.07,257.17,30,0.88
Pennsylvania,12,11217,9.33,868.19,0.29,303.2,32,1
penny,5,5204,8.56,589.24,-0.67,105.74,33,1
Penny's,7,115,4.74,656.79,-0.46,219.41,34,1
pennyweight,11,7,1.95,957.37,0.55,262.57,27,0.84
pens,4,1814,7.5,580.19,-0.73,169.17,32,0.94
Pensacola,9,498,6.21,940.78,0.5,347.52,23,0.72
pension,7,2171,7.68,677.97,-0.44,173.87,32,0.97
pensioner,9,55,4.01,938.73,0.86,357.2,11,0.38
pensions,8,773,6.65,756.67,-0.14,266.79,33,0.97
pensive,7,117,4.76,728.1,-0.1,249.66,31,0.91
pentagon,8,2011,7.61,659.13,-0.44,238.14,32,0.94
Pentagon's,10,96,4.56,752.27,-0.15,290.84,33,0.97
pentagram,9,925,6.83,910.62,0.39,354.7,26,0.76
pentameter,10,29,3.37,1060.45,1.09,439.42,20,0.65
pentathlon,10,32,3.47,841.06,0.76,307.55,16,0.53
Pentecost,9,173,5.15,783.6,0.03,269.13,20,0.65
Pentecostal,11,144,4.97,875.54,0.43,339.93,24,0.8
penthouse,9,1038,6.95,700.94,-0.26,255.38,34,1
penultimate,11,335,5.81,888.6,0.94,286.89,5,0.19
penurious,9,5,1.61,721,0.06,136.4,4,0.12
peon,4,207,5.33,911.25,0.48,251.71,12,0.36
peonies,7,59,4.08,855.82,0.31,438.19,17,0.5
peony,5,39,3.66,675.23,-0.02,130.97,13,0.39
people,6,768168,13.55,540.85,-0.76,108.22,34,1
peopled,7,58,4.06,833.29,0.16,307.89,21,0.68
peoples,7,11495,9.35,619.72,-0.6,165.73,29,0.88
people's,8,18811,9.84,640.55,-0.54,198.79,33,1
pep,3,864,6.76,737.64,-0.05,244.11,28,0.82
pepper,6,5324,8.58,661.22,-0.61,257.64,32,0.97
peppercorn,10,24,3.18,897.67,0.42,274.02,27,0.84
peppered,8,150,5.01,809.79,0.17,296.06,33,0.97
peppermint,10,282,5.64,799.94,-0.04,369.56,32,0.94
peppermints,11,15,2.71,856.52,0.31,242.47,33,0.94
pepperoni,9,232,5.45,850.62,0.12,307.93,34,0.97
peppery,7,27,3.3,818.64,0.2,232.56,25,0.76
peptic,6,59,4.08,887.82,0.26,449.66,11,0.34
peptide,7,585,6.37,971.68,0.54,341.23,22,0.69
peptides,8,274,5.61,841.95,-0.08,297.68,20,0.61
per,3,119422,11.69,694.26,-0.06,138.45,19,0.59
perceive,8,3388,8.13,698.62,-0.31,191.88,34,1
perceived,9,4894,8.5,728.27,-0.14,357.17,33,1
perceives,9,667,6.5,869.44,-0.06,391.19,27,0.87
perceiving,10,406,6.01,755.47,-0.08,303.48,32,1
percent,7,25919,10.16,659.56,-0.56,227.77,34,1
percentage,10,13238,9.49,696.67,-0.32,269.38,33,0.97
percentages,11,1665,7.42,800.97,0.06,296.72,32,0.97
percentile,10,486,6.19,740.73,0,170.13,30,0.91
perceptible,11,228,5.43,837.32,0.26,309.75,31,0.97
perception,10,7178,8.88,703.15,-0.21,224.32,33,0.97
perceptions,11,2400,7.78,860.64,0.05,460.35,33,0.97
perceptive,10,578,6.36,731.27,-0.17,282.65,33,0.97
perceptual,10,804,6.69,838.5,0.04,339.56,30,0.88
perch,5,769,6.65,704.9,-0.14,177.6,30,0.91
perchance,9,353,5.87,870.79,0.14,342.75,19,0.58
perched,7,508,6.23,801.46,-0.08,262.24,28,0.85
percolate,9,52,3.95,915.47,0.92,273.91,19,0.58
percolation,11,34,3.53,1180.33,1.39,434.68,9,0.32
percolator,10,21,3.04,1036,1.02,350.62,14,0.48
percussion,10,2164,7.68,819.3,0.32,229.75,27,0.79
percussionist,13,206,5.33,1009.3,0.92,394.16,23,0.77
percussive,10,211,5.35,810.84,0.45,310.1,19,0.63
peremptory,10,19,2.94,1182.44,0.86,518.85,9,0.31
perennial,9,675,6.51,812.41,0.15,275.73,27,0.82
perfect,7,41810,10.64,661.64,-0.5,301.51,33,0.97
perfectability,14,1,0,1075.62,0.88,426.6,29,0.88
perfected,9,832,6.72,688.63,-0.2,217.69,35,1
perfectibility,14,0,0,1141.89,1.07,442.41,28,0.9
perfecting,10,242,5.49,837.69,0.06,281.69,32,0.94
perfection,10,2782,7.93,733.6,-0.16,201.93,35,1
perfectionism,13,58,4.06,884,0.58,296.84,30,0.94
perfectionist,13,264,5.58,855.48,0.38,294.24,33,0.97
perfectionists,14,46,3.83,1027.07,0.79,440.86,30,0.94
perfectly,9,21653,9.98,685.97,-0.35,207.71,32,0.97
perfidy,7,59,4.08,927.17,0.53,275.08,6,0.2
perforate,9,23,3.14,907.4,0.38,323.02,25,0.81
perforated,10,265,5.58,928.44,0.54,390.02,25,0.76
perforation,11,105,4.65,928.91,0.66,345.45,22,0.71
perforations,12,141,4.95,992.15,0.79,489.44,20,0.71
perforce,8,102,4.62,736,0.75,298.03,5,0.15
perform,7,24590,10.11,706.65,-0.34,289.11,34,1
performance,11,73651,11.21,752.41,-0.21,428.52,32,1
performances,12,5061,8.53,777.97,-0.12,350.41,35,1
performed,9,21262,9.96,739.03,-0.21,247.65,33,0.97
performer,9,3836,8.25,703.64,-0.34,218.24,33,1
performers,10,3083,8.03,800.65,-0.16,399.55,34,0.97
performing,10,9704,9.18,772.1,-0.14,314.99,30,0.91
performs,8,4616,8.44,830.81,0.03,469.51,31,1
perfume,7,1151,7.05,658.41,-0.47,221.92,32,0.94
perfumed,8,121,4.8,743.97,-0.13,237.87,32,0.97
perfumery,9,9,2.2,979.67,0.54,310.62,18,0.56
perfumes,8,191,5.25,689.94,-0.37,392.25,32,0.97
perfunctorily,13,8,2.08,1065.18,1.03,424.84,11,0.38
perfunctory,11,111,4.71,856.64,0.29,303.57,14,0.41
perfusion,9,57,4.04,954.81,0.48,249.82,21,0.66
perhaps,7,109435,11.6,578.82,-0.64,162.95,33,1
peridontal,10,7,1.95,1104.47,1.18,316.63,17,0.61
peril,5,1048,6.95,738.26,-0.15,328.5,27,0.84
perilous,8,314,5.75,819.04,0.14,342.88,27,0.77
perilously,10,111,4.71,923.86,0.47,325.47,29,0.88
perils,6,603,6.4,824.52,-0.09,363.48,27,0.82
perimeter,9,938,6.84,775.87,0,241.39,31,0.97
period,6,53751,10.89,581.78,-0.67,120.8,32,1
periodic,8,4909,8.5,822.52,-0.02,353.61,31,0.94
periodical,10,942,6.85,736.87,0.01,232.43,31,0.97
periodically,12,5095,8.54,781.5,-0.14,256.73,34,1
periodicals,11,2212,7.7,833.64,0.02,315.36,33,0.97
periodicity,11,93,4.53,924.96,0.51,366.06,26,0.84
periods,7,8213,9.01,639.91,-0.47,258.91,34,1
peripheral,10,3038,8.02,776.72,-0.01,214.65,32,0.97
periphery,9,451,6.11,758.07,0.05,232.25,29,0.88
periscope,9,231,5.44,714.52,-0.1,207.79,25,0.81
periscopes,10,14,2.64,1005,0.62,434.64,24,0.8
perish,6,1128,7.03,638.59,-0.51,135.13,32,0.97
perishable,10,132,4.88,785.45,0.03,250.35,31,0.94
perished,8,377,5.93,717.42,-0.28,251.37,33,0.97
perishes,8,46,3.83,793.42,0.04,330.87,31,0.94
perishing,9,39,3.66,759.63,-0.09,276.87,27,0.84
periwinkle,10,85,4.44,808.54,0.33,321.68,24,0.73
periwinkles,11,9,2.2,966.54,0.77,326.23,24,0.71
perjure,7,30,3.4,967.71,0.81,278.77,17,0.55
perjury,7,513,6.24,742.68,-0.03,248.75,25,0.76
perk,4,310,5.74,657.06,-0.25,211.47,31,0.94
perky,5,353,5.87,652,-0.43,165.69,32,1
perm,4,8527,9.05,689.63,-0.3,224.41,32,0.94
permafrost,10,48,3.87,877.9,0.56,210.7,20,0.65
permanence,10,246,5.51,937.21,0.44,385.86,29,0.85
permanent,9,30755,10.33,697.13,-0.31,262.38,32,0.97
permanently,11,4276,8.36,770,-0.16,347.82,32,1
permeability,12,188,5.24,1089.84,0.89,405.29,25,0.76
permeable,9,110,4.7,854.48,0.09,345.39,31,0.94
permeate,8,162,5.09,868.24,0.32,289.46,25,0.74
permeated,9,235,5.46,848,0.28,336.23,28,0.85
permeates,9,314,5.75,998.32,0.86,439.71,22,0.69
permeation,10,32,3.47,1031.3,0.96,323.08,20,0.61
permissibility,14,40,3.69,1109.79,0.63,519.59,28,0.93
permissible,11,1154,7.05,769.97,0,202.59,32,0.97
permission,10,25434,10.14,723.77,-0.41,353.26,30,0.88
permissive,10,224,5.41,785.35,-0.04,281.78,31,0.97
permit,6,8543,9.05,663.74,-0.5,285.39,35,1
permits,7,5209,8.56,690.09,-0.42,221.11,35,1
permitted,9,6594,8.79,673.24,-0.36,143.89,33,1
permitting,10,1454,7.28,727.48,-0.27,350.8,33,1
permutation,11,348,5.85,1003.05,0.9,315.09,22,0.69
permute,7,41,3.71,973.31,0.51,461.69,13,0.45
pernicious,10,350,5.86,776.29,0.35,265.61,17,0.55
peroxide,8,594,6.39,895.66,0.37,459.21,32,0.94
perpendicular,13,1273,7.15,865.55,0.25,256.21,31,0.91
perpendicularly,15,22,3.09,1151.85,1.33,397.62,26,0.9
perpetrate,10,165,5.11,969,0.49,460.63,28,0.9
perpetrated,11,1237,7.12,1006.34,0.6,413.12,29,0.97
perpetration,12,41,3.71,814.5,0.41,210.61,28,0.93
perpetrator,11,798,6.68,945.33,0.44,425.51,30,0.94
perpetual,9,1916,7.56,706,-0.18,242.27,33,0.97
perpetually,11,587,6.38,809.47,0.22,241.58,32,0.94
perpetuate,10,933,6.84,802.29,0.19,241.87,28,0.97
perpetuated,11,426,6.05,904.82,0.41,321.59,33,1
perpetuating,12,561,6.33,825.84,0.32,196.64,25,0.83
perpetuation,12,178,5.18,810.54,0.39,226.29,24,0.83
perplex,7,31,3.43,708,-0.3,152.08,27,0.79
perplexed,9,524,6.26,698.91,-0.27,172.07,35,0.97
perplexing,10,218,5.38,787.18,-0.12,304.82,33,0.97
perplexity,10,33,3.5,769.69,-0.11,203.97,32,0.97
perquisite,10,8,2.08,899.07,0.53,564.51,14,0.5
persecute,9,464,6.14,970.57,0.47,430.54,28,0.88
persecuted,10,1342,7.2,899.78,0.45,308.28,32,0.91
persecution,11,2689,7.9,789.53,0.07,248.52,32,0.94
persecutor,10,52,3.95,884.56,0.32,331.06,25,0.78
persecutory,11,7,1.95,1019.27,0.78,546.07,22,0.73
perseverance,12,315,5.75,921,0.52,292.66,32,0.97
persevere,9,328,5.79,894.21,0.2,458.6,33,0.97
perseveres,10,12,2.48,855.52,0.21,398.23,29,1
Persia,6,752,6.62,796.61,0.1,341.88,31,0.89
Persian,7,2772,7.93,742.5,-0.22,320.51,34,1
Persians,8,426,6.05,748,-0.2,334.08,33,0.97
persimmon,9,83,4.42,918,0.58,316.93,7,0.23
persimmons,10,26,3.26,964.18,0.54,392.87,11,0.38
persist,7,1573,7.36,674.38,-0.36,194.15,32,0.97
persisted,9,643,6.47,793.45,0.1,282.5,33,0.97
persistence,11,1574,7.36,839.69,0.07,343.36,32,0.94
persistent,10,2736,7.91,761.38,-0.15,259.51,32,0.97
persistently,12,326,5.79,768.1,0.16,219.62,31,0.94
persisting,10,168,5.12,787.44,0.22,289.92,34,0.97
persists,8,1193,7.08,835.67,0.19,299.8,33,0.97
persnickety,11,31,3.43,1091.3,1.44,376.8,10,0.31
person,6,167439,12.03,614.61,-0.71,180.5,33,1
